symbol,year,predicted_price_rf
4335,2026,9.6614609983412
4335,2027,9.6614609983412
4336,2025,6.956226482449056
4336,2026,6.956226482449056
4336,2027,6.956226482449056
4337,2025,8.774082517369877
4337,2026,8.774082517369877
4337,2027,8.774082517369877
4338,2025,8.535238084695965
4338,2026,8.535238084695965
4338,2027,8.535238084695965
4339,2025,7.506472439243075
4339,2026,7.506472439243075
4339,2027,7.506472439243075
4342,2025,11.168997955700949
4342,2026,11.168997955700949
4342,2027,11.168997955700949
4344,2025,9.540702108494306
4344,2026,9.540702108494306
4344,2027,9.540702108494306
4345,2025,5.892509188258905
4345,2026,5.892509188258905
4345,2027,5.892509188258905
4347,2025,9.591519136317306
4347,2026,9.591519136317306
4347,2027,9.591519136317306
4348,2025,6.88120516165561
4348,2026,6.88120516165561
4348,2027,6.88120516165561
5110,2025,21.188359857222167
5110,2026,21.188359857222167
5110,2027,21.188359857222167
6001,2025,43.9716243940391
6001,2026,43.9716243940391
6001,2027,43.9716243940391
6002,2025,26.50337019600946
6002,2026,26.50337019600946
6002,2027,26.50337019600946
6004,2025,117.00042068947795
6004,2026,117.00042068947795
6004,2027,117.00042068947795
6010,2025,29.10676951853924
6010,2026,29.10676951853924
6010,2027,29.10676951853924
6012,2025,45.710330812089985
6012,2026,45.710330812089985
6012,2027,45.710330812089985
6020,2025,19.97156987726656
6020,2026,19.97156987726656
6020,2027,19.97156987726656
6040,2025,21.1666997348601
6040,2026,21.1666997348601
6040,2027,21.1666997348601
6050,2025,105.78117626281329
6050,2026,105.78117626281329
6050,2027,105.78117626281329
6060,2025,21.656588821947924
6060,2026,21.656588821947924
6060,2027,21.656588821947924
6070,2025,58.71515440065159
6070,2026,58.71515440065159
6070,2027,58.71515440065159
6090,2025,14.797207165278936
6090,2026,14.797207165278936
6090,2027,14.797207165278936
7010,2025,39.265816723642324
7010,2026,39.265816723642324
7010,2027,39.265816723642324
7020,2025,51.05511120828379
7020,2026,51.05511120828379
7020,2027,51.05511120828379
7030,2025,12.990280056987118
7030,2026,12.990280056987118
7030,2027,12.990280056987118
7040,2025,107.25103513782997
7040,2026,107.25103513782997
7040,2027,107.25103513782997
7200,2025,142.86517931894443
7200,2026,142.86517931894443
7200,2027,142.86517931894443
7201,2025,11.469284505541951
7201,2026,11.469284505541951
7201,2027,11.469284505541951
8010,2025,151.4569316861651
8010,2026,151.4569316861651
8010,2027,151.4569316861651
8012,2025,17.87260736632
8012,2026,17.87260736632
8012,2027,17.87260736632
8020,2025,16.525051235364955
8020,2026,16.525051235364955
8020,2027,16.525051235364955
8030,2025,23.331428093187203
8030,2026,23.331428093187203
8030,2027,23.331428093187203
8040,2025,17.876632345065893
8040,2026,17.876632345065893
8040,2027,17.876632345065893
8050,2025,27.514129876477266
8050,2026,27.514129876477266
8050,2027,27.514129876477266
8060,2025,21.681297741973502
8060,2026,21.681297741973502
8060,2027,21.681297741973502
8070,2025,24.55741670614104
8070,2026,24.55741670614104
8070,2027,24.55741670614104
8100,2025,23.046968857068133
8100,2026,23.046968857068133
8100,2027,23.046968857068133
