symbol,year,capital,total_liabilities,net_income,roe,roa,pe,eps,bvps,de
2350,2021,15000000000,16427355000,2390616000,0.14516,0.07267,10.7044,1.59,10.9795,0.8123
2350,2022,15000000000,12795951000,-1243890000,-0.07787,-0.04067,-16.4578,-0.83,10.3182,0.6507
2350,2023,15000000000,13396718000,-2136474000,-0.14857,-0.07775,-7.7183,-1.42,8.8561,0.7656
2350,2024,15000000000,13366443000,-1803717000,-0.14554,-0.06998,-5.85,-1.2,7.6686,0.7284
2360,2021,150000000,36482403,-2055341,-0.00742,-0.00656,-549.2857,-0.14,18.4623,0.0174
2360,2022,150000000,33045314,-8762676,-0.03213,-0.0285,-67.4138,-0.58,17.9023,0.0227
2360,2023,150000000,30258143,-59140066,-0.24724,-0.21834,-12.132,-3.94,13.9916,0.0326
2360,2024,150000000,52919528,-108445350,-0.69536,-0.54897,-5.2766,-7.23,6.8024,0.2626
3002,2021,1700000000,421583000,165546000,0.08493,0.06983,18.6186,0.97,11.4662,0.1446
3002,2022,1700000000,429785000,112809000,0.05768,0.04737,18.2727,0.66,11.5433,0.1441
3002,2023,1700000000,503954000,55162000,0.02803,0.02265,35.6875,0.32,11.6121,0.1727
3002,2024,1700000000,434378000,68429000,0.03407,0.02762,22.675,0.4,12.0136,0.1466
3003,2021,1400000000,125870945,160280269,0.08758,0.08194,19.7719,1.14,13.0723,0.0028
3003,2022,1400000000,122148587,115010427,0.06303,0.05902,24.3902,0.82,12.9935,0.0021
3003,2023,1400000000,88035682,82001085,0.04562,0.0431,35.1525,0.59,12.687,0.0013
3003,2024,1400000000,99685045,144119933,0.08071,0.07668,17.6699,1.03,12.8224,0.0009
3004,2021,1800000000,1050856987,106062313,0.04801,0.03249,22.7458,0.59,12.2738,0.3729
3004,2022,1800000000,1178538927,112023420,0.05049,0.03356,17.3871,0.62,12.3801,0.3947
3004,2023,1800000000,1277206456,56259215,0.02518,0.01623,34,0.31,12.445,0.427
3004,2024,1800000000,1309958732,100799650,0.04488,0.02846,16.5179,0.56,12.5123,0.4345
3005,2021,550000000,442478624,81436401,0.10822,0.06815,15.9189,1.48,13.6818,0.4901
3005,2022,550000000,418083601,22986944,0.03035,0.01936,39.7619,0.42,13.8571,0.4187
3005,2023,550000000,418432386,3951063,0.00517,0.00334,243.1429,0.07,13.9279,0.4095
3005,2024,550000000,370612317,47719184,0.06042,0.04029,21.4023,0.87,14.7926,0.3422
3007,2021,150000000,265355654,64571683,0.21388,0.11383,19.8374,2.87,13.4181,0.7492
3007,2022,225000000,288541337,15739163,0.05267,0.02734,44.7143,0.7,13.1451,0.8592
3007,2023,225000000,291337394,33873193,0.11072,0.05685,24.4702,1.51,14.0487,0.7938
3007,2024,225000000,265269508,12077393,0.03934,0.02064,60,0.54,13.2384,0.7531
3008,2021,113022000,47281074,8586814,0.06419,0.04738,90.7792,0.0385,0.5918,0.272
3008,2022,113022000,66439559,1709762,0.01271,0.00893,59.25,0.03,0.5982,0.3539
3008,2023,113022000,169684582,-4138744,-0.03109,-0.01646,-133,-0.02,0.5797,1.1014
3008,2024,113022000,175205423,-19004824,-0.15632,-0.06458,-32.25,-0.08,0.496,1.1978
3010,2021,1000000000,599784000,161520000,0.05874,0.04705,23.3333,1.62,27.4969,0.0951
3010,2022,1000000000,557987000,181006000,0.06723,0.05392,18.5359,1.81,26.3526,0.0897
3010,2023,1000000000,472654000,139633000,0.05362,0.04352,24.6071,1.4,25.7311,0.0586
3010,2024,1000000000,433745000,160097000,0.06231,0.0514,16.25,1.6,25.6541,0.035
3020,2021,2025000000,1642813468,153665412,0.0359,0.02594,34.2105,0.76,21.1357,0.2759
3020,2022,2025000000,1699548778,355798550,0.07967,0.05798,15.3409,1.76,22.9692,0.2383
3020,2023,2025000000,1749432045,304251843,0.06484,0.04742,22.7667,1.5,23.3744,0.2797
3020,2024,2025000000,2473498785,420705984,0.08786,0.06097,16.851,2.08,23.9177,0.3702
3030,2021,1530000000,958971000,331920000,0.13641,0.09785,25.2535,2.17,15.9039,0.1535
3030,2022,1530000000,984639000,398838000,0.16878,0.11959,19.5402,2.61,14.9867,0.1516
3030,2023,1530000000,1054821000,381027000,0.17116,0.11739,21.1245,2.49,14.1131,0.2064
3030,2024,1530000000,896439000,421874000,0.19177,0.13285,15.4529,2.76,14.6439,0.1334
3040,2021,900000000,287784082,291872242,0.1685,0.14449,23.3642,3.24,19.2464,0.0012
3040,2022,900000000,261651061,130512557,0.07684,0.06614,42.1379,1.45,18.4975,0.0009
3040,2023,900000000,225505013,141970722,0.08753,0.0761,40.3165,1.58,17.5478,0.0004
3040,2024,1105590000,373019979,301349338,0.13876,0.12196,17.651,2.98,25.1821,0.0032
3050,2021,1400000000,818252446,429150690,0.13468,0.10716,22.8339,3.07,22.7605,0.1031
3050,2022,1400000000,666219811,300708182,0.09409,0.07636,23.7209,2.15,22.8971,0.079
3050,2023,1400000000,797170962,195401445,0.0602,0.04913,30.3929,1.4,23.4729,0.1103
3050,2024,1400000000,1056891312,243746337,0.07322,0.05727,19.8276,1.74,24.0819,0.1925
3060,2021,1575000000,565646762,159556334,0.05709,0.04703,35.8416,1.01,17.745,0.1011
3060,2022,1575000000,580596601,215407476,0.07744,0.0639,26.0584,1.37,17.579,0.0618
3060,2023,1575000000,715545913,119921196,0.04425,0.03571,45.3289,0.76,16.8381,0.1575
3060,2024,1575000000,644590239,157120485,0.05976,0.04748,24.3,1,16.5466,0.1222
3080,2021,860000000,382463000,192847000,0.08028,0.06925,18.3891,2.39,27.9333,0.0023
3080,2022,860000000,494777000,143300000,0.06001,0.0507,24.1018,1.67,27.598,0.003
3080,2023,860000000,456105000,196492000,0.08253,0.0688,16.7105,2.28,27.7675,0.0028
3080,2024,860000000,470836000,247883000,0.1059,0.08839,11.9444,2.88,26.6702,0.0026
3090,2021,900000000,462684363,17757321,0.01401,0.01026,88.6294,0.197,14.0827,0.2173
3090,2022,900000000,388039212,20967188,0.01641,0.01231,64.0343,0.233,14.3179,0.1668
3090,2023,900000000,352209511,15012235,0.01164,0.00904,81.4371,0.167,14.3494,0.1252
3090,2024,900000000,309592734,79562528,0.06381,0.05043,14.5475,0.884,13.3582,0.0822
3091,2021,1430000000,836163395,-92640127,-0.08404,-0.04779,-16.8421,-0.85,10.1431,0.5634
3091,2022,1087000000,843448927,30893914,0.02797,0.01589,39.5,0.28,10.1834,0.5483
3091,2023,1087000000,911270225,37678330,0.03347,0.01881,34.6857,0.35,10.5287,0.5339
3091,2024,1087000000,977887202,-27731380,-0.02453,-0.01336,-39.5385,-0.26,10.2712,0.6532
3092,2021,1200000000,225713170,213730732,0.12859,0.11322,18.5393,1.78,13.8507,0.0021
3092,2022,1200000000,215805876,189839971,0.11377,0.10048,20.1266,1.58,13.9599,0.0021
3092,2023,1200000000,158740390,188772499,0.11253,0.10123,22.1656,1.57,13.9981,0.0023
3092,2024,1200000000,189220959,310439020,0.17939,0.163,12.4517,2.59,14.8437,0.0023
1831,2021,375000000,465234464,144925035,0.25317,0.13986,19.6891,0.3217,1.2721,0.0425
1831,2022,375000000,1150504852,113462364,0.20122,0.08278,17.0304,0.252,1.234,1.0694
1831,2023,475000000,1180736798,100225936,0.1783,0.05807,36.1364,0.22,1.2643,1.0766
1831,2024,475000000,1245167542,127482444,0.21353,0.07049,22,0.28,1.3892,1.0356
1832,2021,175000000,64292022,3599087,0.01968,0.01456,106.6667,0.096,1.045,0.1879
1832,2022,175000000,56088262,-7215933,-0.04019,-0.0301,-78.7805,-0.041,1.007,0.101
1832,2023,175000000,68190475,-4245445,-0.0244,-0.01798,-133.75,-0.024,0.9813,0.2003
1832,2024,175000000,101935989,-3753257,-0.02213,-0.01474,-153.8095,-0.021,0.9572,0.3319
1833,2021,100000000,172021167,55660953,0.23886,0.13742,,3.7107,15.5349,0.0837
1833,2022,150000000,211032886,75987371,0.28888,0.16716,,5.0658,19.5377,0.0711
1833,2023,150000000,332729820,88766985,0.27872,0.15036,21.0811,5.92,22.9257,0.1184
1833,2024,150000000,462337239,95423397,0.25724,0.12417,16.5723,6.36,26.5341,0.138
1834,2021,,,,,,,,,
1834,2022,,,,,,,,,
1834,2023,400000000,490758993,166287356,0.31874,0.16424,,0.4157,1.3043,0.0493
1834,2024,400000000,495034552,126423825,0.22534,0.11996,23.9375,0.32,1.5009,0.0753
1835,2021,,,,,,,,,
1835,2022,,,,,,,,,
1835,2023,200000000,148840707,59829040,0.19923,0.1328,,2.2577,11.3323,0.0414
1835,2024,265000000,204097856,85508204,0.2631,0.16997,19.8452,3.23,13.1963,0.0444
4270,2021,600000000,1060305825,-59297476,-0.0924,-0.03484,-22.1818,-0.99,10.6958,1.2989
4270,2022,600000000,1103521569,-9219476,-0.01441,-0.00535,-116.6667,-0.15,10.6323,1.2915
4270,2023,600000000,1022701288,-132304036,-0.23224,-0.08103,-7.0407,-2.21,8.3574,1.5541
