base_symbol,first_date,last_date,first_year,last_year,source
4161,2021-04-19,2025-11-02,2021,2025,yahoo_period_max
4162,2021-12-21,2025-11-02,2021,2025,yahoo_period_max
4163,2022-03-16,2025-11-02,2022,2025,yahoo_period_max
4164,2022-04-18,2025-11-02,2022,2025,yahoo_period_max
4165,2024-10-07,2025-11-02,2024,2025,yahoo_period_max
4170,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
4180,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
4190,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
4191,2019-11-11,2025-11-02,2019,2025,yahoo_period_max
4192,2022-12-29,2025-11-02,2022,2025,yahoo_period_max
4193,2025-01-08,2025-11-02,2025,2025,yahoo_period_max
4194,2025-09-02,2025-11-02,2025,2025,yahoo_period_max
4200,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
4210,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
4220,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
4230,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
4240,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
4250,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
4260,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
4261,2021-03-29,2025-11-02,2021,2025,yahoo_period_max
4262,2023-09-25,2025-11-02,2023,2025,yahoo_period_max
4263,2023-11-01,2025-11-02,2023,2025,yahoo_period_max
4264,2025-06-18,2025-11-02,2025,2025,yahoo_period_max
4270,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
4280,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
4290,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
4291,2018-11-18,2025-11-02,2018,2025,yahoo_period_max
4292,2019-07-31,2025-11-02,2019,2025,yahoo_period_max
4300,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
4310,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
4320,2016-01-12,2025-11-02,2016,2025,yahoo_period_max
4321,2019-05-22,2025-11-02,2019,2025,yahoo_period_max
4322,2022-07-03,2025-11-02,2022,2025,yahoo_period_max
4323,2021-07-01,2025-11-02,2021,2025,yahoo_period_max
4324,2024-12-01,2025-11-02,2024,2025,yahoo_period_max
4330,2016-11-13,2025-11-02,2016,2025,yahoo_period_max
4331,2017-02-15,2025-11-02,2017,2025,yahoo_period_max
4332,2021-09-30,2025-11-02,2021,2025,yahoo_period_max
4333,2017-07-19,2025-11-02,2017,2025,yahoo_period_max
4334,2017-08-23,2025-11-02,2017,2025,yahoo_period_max
4335,2017-10-01,2025-11-02,2017,2025,yahoo_period_max
4336,2018-03-14,2025-11-02,2018,2025,yahoo_period_max
4337,2018-01-23,2025-11-02,2018,2025,yahoo_period_max
4338,2018-01-21,2025-11-02,2018,2025,yahoo_period_max
4339,2018-03-26,2025-11-02,2018,2025,yahoo_period_max
4340,2018-03-20,2025-11-02,2018,2025,yahoo_period_max
4342,2018-02-11,2025-11-02,2018,2025,yahoo_period_max
4344,2018-05-01,2025-11-02,2018,2025,yahoo_period_max
4345,2018-08-06,2025-11-02,2018,2025,yahoo_period_max
