symbol,distribution_date,dividend_amount
2290,2024-03-14,0.75
2280,2024-04-16,1.0
2020,2024-02-21,3.0
6070,2024-01-30,0.25
2250,2024-01-04,0.5
2010,2024-03-04,1.6
2080,2024-01-28,1.0
2310,2023-12-25,0.75
3092,2024-04-30,0.75
4144,2023-12-20,0.5
2300,2024-05-09,0.5
4191,2023-12-20,0.5
4291,2024-01-07,1.65
3040,2023-12-17,0.65
4347,2023-12-18,0.33
4331,2023-12-04,0.3405
4342,2023-12-26,0.2
3001,2023-12-11,0.25
4162,2023-12-03,2.0
4263,2023-11-29,1.9
4161,2023-11-30,0.1
4261,2023-11-28,0.4
6014,2023-12-05,0.6
2222,2023-11-30,0.4554
4340,2023-12-14,0.13
4004,2023-11-26,0.5
4007,2023-11-26,0.35
1301,2023-11-26,1.0
4333,2023-11-28,0.16
4190,2023-11-15,0.25
9403,2023-11-16,0.0391
4348,2024-01-07,0.105
7010,2023-11-23,0.4
4292,2024-02-11,1.1
4013,2023-11-20,1.17
1830,2023-11-14,0.95
1150,2023-11-22,0.3
4344,2023-11-30,0.145
4336,2023-11-16,0.1
4050,2023-10-31,0.5
4142,2023-11-05,1.0
9403,2023-10-17,0.0278
4163,2023-09-28,1.25
9403,2023-09-18,0.024
3050,2023-09-17,0.35
4192,2023-10-17,0.1
1303,2023-09-21,1.5
1831,2023-09-10,1.0
4323,2023-10-09,1.0
2190,2023-09-21,0.4
3092,2023-09-12,0.8
3001,2023-09-26,0.37
3040,2023-09-17,0.65
4338,2023-09-26,0.25
4334,2023-08-31,0.31
4330,2023-10-05,0.25
4701,2023-09-04,0.93
4335,2023-09-11,0.07
3003,2023-09-05,0.4
6014,2023-09-04,0.6
4320,2023-08-29,0.25
4324,2023-09-10,0.02
2282,2023-09-14,1.0
4001,2023-09-06,0.3
4051,2023-09-06,0.7
4015,2023-09-03,1.0
4261,2023-08-23,0.34
1833,2023-09-25,1.5
4004,2023-09-07,0.5
2222,2023-09-27,0.4554
