symbol,distribution_date,dividend_amount
4335,2022-02-17,0.3
4200,2022-03-14,1.5
4002,2022-05-19,2.75
4336,2022-02-03,0.18
2270,2022-01-25,3.0
9403,2022-01-17,0.0054
2150,2022-01-30,0.5
4339,2022-02-13,0.18
1150,2022-04-25,0.4
4337,2022-01-24,0.15
6001,2022-05-11,2.0
1302,2022-02-06,0.75
4050,2022-01-17,0.2
9404,2022-01-13,0.8
4344,2022-01-20,0.1625
1050,2022-06-30,0.85
3092,2022-05-31,0.75
2290,2022-03-30,1.5
2230,2022-02-03,0.5
1080,2022-04-21,0.45
2330,2022-02-20,0.65
1030,2022-02-10,0.7
2020,2022-04-27,3.0
1010,2022-04-25,0.54
2280,2022-04-20,1.0
2010,2022-04-25,2.25
2310,2021-12-30,1.5
4004,2021-12-30,1.0
1304,2022-01-12,1.0
4347,2021-12-29,0.32
3060,2021-12-30,1.0
4081,2021-12-16,0.75
3001,2021-12-23,0.5
4331,2021-12-16,0.338
7020,2022-06-09,0.85
3040,2021-12-15,0.8
4291,2022-01-20,0.8
4261,2021-12-05,0.4
3007,2022-05-26,1.5
4090,2021-12-05,4.0
4007,2021-12-26,0.6
4180,2021-11-30,0.5
1830,2021-11-25,0.78
4190,2021-11-17,2.05
4348,2021-12-26,0.125
2170,2021-11-18,1.0
2222,2021-11-22,0.3518
9403,2021-11-14,0.0401
4333,2021-11-09,0.12
4013,2021-11-15,0.7
7010,2021-11-18,1.0
2330,2021-11-21,0.65
4320,2021-10-24,0.25
4336,2021-10-24,0.13
4342,2021-11-10,0.2
4339,2021-11-14,0.18
9403,2021-10-14,0.0355
4346,2021-11-11,0.05
4292,2021-11-21,1.0
4344,2021-10-21,0.1625
3002,2021-10-17,0.75
6016,2021-10-14,3.2
4004,2021-10-14,0.5
4030,2021-10-24,1.0
4261,2021-10-06,0.51
4050,2021-10-04,0.3
4324,2021-11-04,0.25
3092,2021-10-03,1.0
2080,2021-09-27,0.75
9403,2021-09-13,0.0165
4001,2021-09-22,2.0
4260,2021-09-20,0.6
4342,2021-09-21,0.2
3040,2021-09-07,1.0
1831,2021-09-02,1.75
4323,2021-10-14,0.5
3010,2021-09-06,1.25
4161,2021-09-05,1.25
4330,2021-09-12,0.27
2190,2021-11-23,0.4
3003,2021-09-02,0.75
4190,2021-08-25,1.4
1180,2021-08-23,0.65
1830,2021-08-26,0.45
2222,2021-09-01,0.3518
4013,2021-08-30,0.7
4191,2021-10-05,0.5
1302,2021-09-01,0.75
4340,2021-08-26,0.28
3004,2021-08-24,0.25
4700,2021-08-31,0.18
1020,2021-08-23,0.35
3080,2021-08-23,1.4
7010,2021-08-26,1.0
3005,2021-08-29,0.5
4348,2021-09-22,0.125
1150,2021-08-22,0.35
1060,2021-08-19,0.5
3050,2021-08-22,1.25
1301,2021-08-17,0.75
9403,2021-08-11,0.0519
2040,2021-08-15,0.75
3060,2021-08-17,1.25
4012,2021-09-30,0.75
4150,2021-09-30,1.0
4336,2021-08-05,0.13
4338,2021-08-12,0.35
4333,2021-08-09,0.24
4003,2021-08-05,2.0
7200,2021-09-15,1.0
4335,2021-08-10,0.3
1050,2021-08-05,0.65
4339,2021-08-19,0.18
2081,2021-09-19,1.5
2330,2021-08-30,0.65
1120,2021-07-14,1.4
4344,2021-07-28,0.1525
1080,2021-07-14,0.35
4342,2021-07-15,0.19
2310,2021-07-14,0.75
2010,2021-10-03,1.75
1010,2021-07-05,0.5
2290,2021-07-13,1.5
2020,2021-07-14,1.25
2270,2021-08-05,3.0
2250,2021-07-15,0.5
3030,2021-06-16,1.5
4190,2021-06-09,2.1
4347,2021-06-09,0.32
1304,2021-06-02,0.75
2222,2021-06-02,0.3518
3040,2021-05-30,1.1
4348,2021-07-01,0.125
4321,2021-07-15,0.75
2080,2021-07-06,0.5
9403,2021-05-19,0.0506
8210,2021-07-08,3.4
4013,2021-05-18,0.7
7010,2021-05-31,1.0
4336,2021-04-29,0.13
2230,2021-06-14,0.5
8010,2021-05-09,0.8
1180,2021-05-23,0.8
4339,2021-05-13,0.18
4344,2021-06-03,0.1525
4280,2022-01-16,0.125
4280,2021-10-17,0.125
4280,2021-07-15,0.125
2330,2021-05-31,0.65
4346,2021-05-06,0.15
4280,2021-04-18,0.125
9403,2021-04-14,0.0314
4290,2021-06-13,0.25
1182,2021-06-01,0.8
2090,2021-05-23,0.6
5110,2021-05-20,0.7
4050,2021-07-05,0.2
4005,2021-06-16,1.0
4007,2021-05-31,0.5
2120,2021-07-05,0.25
2070,2021-06-16,1.0
4004,2021-04-11,0.25
4330,2021-04-18,0.25
2222,2021-03-31,0.3518
4003,2021-04-12,2.0
1303,2021-05-09,0.5
4190,2021-03-31,2.35
1831,2021-04-05,2.0
4334,2021-03-30,0.39
4008,2021-04-11,0.75
4001,2021-04-01,3.0
4150,2021-05-06,0.65
1212,2021-04-20,0.75
3005,2021-05-10,0.4
6002,2021-05-10,1.0
2002,2021-05-05,0.75
3004,2021-03-28,0.25
3080,2021-04-28,2.5
1302,2021-04-04,0.6
4180,2021-03-31,0.2
4320,2021-06-13,0.5
4051,2021-05-07,1.75
1030,2021-05-02,0.4
2030,2021-05-10,0.75
1080,2021-04-12,0.4
3050,2021-04-25,2.5
1150,2021-04-21,0.3
1050,2021-05-31,0.4
3010,2021-05-02,1.25
1120,2021-04-06,1.0
2190,2021-05-31,0.8
3002,2021-04-13,0.75
1010,2021-04-06,0.5
3003,2021-03-21,0.5
9403,2021-03-14,0.0194
4002,2021-05-09,2.5
3007,2021-06-01,1.0
9404,2021-03-11,1.44
4013,2021-05-05,0.6
1301,2021-03-03,1.0
3001,2021-04-05,0.5
4338,2021-02-25,0.325
4260,2021-05-10,1.25
3040,2021-02-21,1.2
3030,2021-04-19,2.0
4340,2021-02-25,0.28
4348,2021-03-30,0.125
9403,2021-02-14,0.0499
4030,2021-05-09,1.0
2050,2021-05-24,0.75
4342,2021-02-18,0.19
7010,2021-05-24,1.0
4200,2021-04-28,1.0
4336,2021-02-08,0.1
4333,2021-02-07,0.16
2270,2021-01-25,3.0
7200,2021-01-20,1.1
4339,2021-02-14,0.204
4335,2021-01-20,0.3
2320,2021-02-09,1.0
4321,2021-01-14,0.5
3092,2021-04-28,1.0
6001,2021-02-21,1.5
2290,2021-04-14,1.25
6070,2021-02-11,0.25
4344,2021-01-21,0.125
1832,2021-05-20,0.5
1304,2021-02-25,1.0
2330,2021-04-20,0.65
2250,2021-01-14,0.5
7020,2021-06-06,0.5
4090,2021-04-15,0.5
2010,2021-05-03,1.5
2280,2021-04-21,1.0
2020,2021-04-25,1.0
4004,2020-12-28,0.5
2310,2021-01-06,0.5
3060,2021-03-15,1.25
4291,2021-01-24,0.8
2360,2020-12-14,1.0
4180,2020-12-07,0.2
4161,2020-11-30,2.0
3003,2020-11-25,1.0
4190,2020-11-18,2.1
4347,2020-11-25,0.2763
2222,2020-11-30,0.3518
4342,2020-11-26,0.18
3040,2020-11-22,1.25
9403,2020-11-12,0.0542
4348,2020-12-10,0.15
4050,2020-11-18,0.4
4292,2021-01-26,1.0
1302,2020-11-25,0.4
4013,2020-11-15,0.6
7010,2020-11-18,1.0
4336,2020-11-04,0.1
4344,2020-11-10,0.125
4331,2020-10-29,0.3
4323,2020-11-29,0.5
4333,2020-10-28,0.16
4339,2020-11-15,0.204
9403,2020-10-14,0.0342
2330,2020-11-09,0.65
3002,2020-10-15,0.75
4030,2020-10-22,1.0
1301,2020-10-08,1.0
3092,2020-10-04,0.75
