symbol,year,capital,total_liabilities,net_income,roe,roa,pe,eps,bvps,de,earnings_yield
1320,2021,510000000.0000,476802922.0000,931645.0000,0.0019,0.0010,1680.0001,0.015000,9.797800,0.472900,0.00059524
1320,2022,510000000.0000,487924633.0000,54205644.0000,0.1037,0.0539,16.8391,1.063000,10.892200,0.415400,0.05938560
1320,2023,510000000.0000,1150596330.0000,173051631.0000,0.2720,0.1123,10.6985,3.393000,14.282500,0.746300,0.09347105
1320,2024,510000000.0000,913171868.0000,180630645.0000,0.2280,0.0890,18.3794,3.542000,17.064000,0.636800,0.05440874
1321,2021,,,,,,,,,,
1321,2022,210000000.0000,380928570.0000,-3245320.0000,-0.0063,-0.0036,-373.0000,-0.100000,16.348900,0.568600,
1321,2023,315000000.0000,371875930.0000,99920835.0000,0.1768,0.1061,25.7098,3.170000,19.537800,0.419000,0.03889567
1321,2024,315000000.0000,634894318.0000,267507881.0000,0.3646,0.2162,16.5371,8.490000,27.044900,0.346300,0.06047009
2001,2021,674508630.0000,884025310.0000,244004449.0000,0.2396,0.1283,9.9448,3.620000,15.089500,0.677200,0.10055506
2001,2022,674508630.0000,574459404.0000,206428499.0000,0.1843,0.1116,8.2680,3.060000,18.098000,0.306200,0.12094823
2001,2023,674508630.0000,608379362.0000,-177800467.0000,-0.1572,-0.1032,-7.6515,-2.640000,15.415700,0.358400,
2001,2024,674508630.0000,1044184111.0000,-286229346.0000,-0.3164,-0.1661,-4.5792,-4.040000,11.388200,0.868100,
2010,2021,30000000000.0000,107522000000.0000,23066002000.0000,0.1280,0.0722,15.0845,7.690000,60.046900,0.214100,0.06629321
2010,2022,30000000000.0000,95488558000.0000,16529722000.0000,0.0903,0.0523,16.2250,5.510000,62.015400,0.187100,0.06163328
2010,2023,30000000000.0000,99097911000.0000,-2772282000.0000,-0.0157,-0.0091,-90.7609,-0.920000,55.809500,0.200100,
